District,Type,Built by,Longitude,Latitude,ID
Gangnam-gu,Public facility,District,127.0410033,37.5082915,WF121001
Gangnam-gu,Public facility,District,127.0642501,37.4938501,WF121002
Gangnam-gu,Public facility,District,127.0642501,37.4938501,WF121003
Gangnam-gu,Public facility,District,127.0642501,37.4938501,WF121004
Gangnam-gu,Public facility,District,127.0642501,37.4938501,WF121005
Gangnam-gu,Public facility,District,127.0642501,37.4938501,WF121006
Gangnam-gu,Public facility,District,127.0642501,37.4938501,WF121007
Gangnam-gu,Public facility,District,127.0642501,37.4938501,WF121008
Gangnam-gu,Public facility,District,127.0642501,37.4938501,WF121009
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121010
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121011
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121012
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121013
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121014
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121015
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121016
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121017
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121018
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121019
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121020
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121021
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121022
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121023
Gangnam-gu,Public facility,District,127.0474601,37.5175201,WF121024
Gangnam-gu,Public facility,District,127.0521134,37.5159009,WF121025
Gangnam-gu,Public facility,District,127.0521134,37.5159009,WF121026
Gangnam-gu,Public facility,District,127.0521134,37.5159009,WF121027
Gangnam-gu,Public facility,District,127.0521134,37.5159009,WF121028
Gangnam-gu,Tour site,District,127.0643002,37.5023891,WF121029
Gangnam-gu,Tour site,District,127.0578714,37.4997627,WF121030
Gangnam-gu,Tour site,District,127.0464503,37.4836446,WF121031
Gangnam-gu,Public facility,District,127.0422163,37.5162597,WF121032
Gangnam-gu,Public facility,District,127.0422163,37.5162597,WF121033
Gangnam-gu,Public facility,District,127.0422163,37.5162597,WF121034
Gangnam-gu,Public facility,District,127.0422163,37.5162597,WF121035
Gangnam-gu,Public facility,District,127.1052665,37.4888523,WF121036
Gangnam-gu,Public facility,District,127.0626098,37.5143172,WF121037
Gangnam-gu,Tour site,District,127.0626688,37.5143683,WF121038
Gangnam-gu,Tour site,District,127.0459172,37.5111578,WF121039
Gangnam-gu,Tour site,District,127.1068759,37.4691307,WF121040
Gangnam-gu,Tour site,District,127.0332181,37.4951631,WF121041
Gangnam-gu,Tour site,District,127.0492935,37.5250895,WF121042
Gangnam-gu,Tour site,District,127.0464301,37.5190501,WF121043
Gangnam-gu,Main Street,Min. of Future(LGU+),127.0280696,37.4986144,WF121044
Gangnam-gu,Public facility,Min. of Future(KT),127.0672394,37.5084197,WF121045
Gangnam-gu,Welfare facility,Min. of Future(KT),127.0507291,37.504556,WF121046
Gangnam-gu,Tour site,Min. of Future(KT),127.063769,37.4829604,WF121047
